dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders
20/1/2021,1,0,1,1,0,4,1,1,0.26,0.2727,0.56,0,casual,2
17/8/2022,3,1,8,17,0,5,1,1,0.82,0.2424,0.36,0.3284,casual,144
14/11/2022,4,1,11,7,0,3,1,1,0.24,0.2121,0.65,0.2836,registered,405
9/11/2022,4,1,11,2,0,5,1,1,0.32,0.303,0.53,0.2537,registered,11
6/5/2022,2,1,5,16,0,0,0,2,0.62,0.6061,0.61,0,casual,181
4/2/2021,1,0,2,18,0,5,1,2,0.24,0.2576,0.6,0.1045,casual,3
8/7/2022,3,1,7,20,0,0,0,1,0.76,0.7273,0.7,0.0896,casual,79
1/9/2022,3,1,9,21,0,6,0,3,0.64,0.5758,0.89,0,casual,21
4/2/2021,1,0,2,7,0,5,1,1,0.14,0.2121,0.59,0,casual,0
28/5/2021,2,0,5,19,0,6,0,1,0.7,0.6515,0.65,0.194,casual,99
7/1/2022,1,1,1,6,0,6,0,1,0.26,0.2727,0.75,0.1045,registered,7
15/1/2021,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.194,registered,108
6/7/2021,3,0,7,7,0,3,1,2,0.72,0.697,0.79,0,casual,24
10/7/2022,3,1,7,17,0,2,1,1,0.78,0.7121,0.49,0.194,casual,103
14/12/2021,4,0,12,1,0,3,1,1,0.26,0.303,0.75,0,registered,8
25/3/2021,2,0,3,0,0,5,1,1,0.24,0.2273,0.6,0.194,registered,17
12/8/2022,3,1,8,4,0,0,0,1,0.64,0.6061,0.69,0.0896,registered,8
30/9/2021,4,0,9,1,0,5,1,1,0.52,0.5,0.77,0.0896,registered,18
4/10/2021,4,0,10,22,0,2,1,1,0.5,0.4848,0.72,0.1343,casual,8
20/6/2022,2,1,6,7,0,3,1,2,0.66,0.5909,0.89,0,registered,444
12/10/2021,4,0,10,11,0,3,1,3,0.54,0.5152,0.94,0.3284,casual,18
3/7/2021,3,0,7,21,0,0,0,2,0.66,0.6061,0.83,0.1642,registered,92
2/8/2022,3,1,8,1,0,4,1,1,0.68,0.6364,0.79,0.1045,registered,36
3/1/2022,1,1,1,19,0,2,1,1,0.12,0.0909,0.28,0.4179,registered,152
28/10/2021,4,0,10,19,0,5,1,2,0.36,0.3485,0.5,0.1343,registered,188
18/6/2022,2,1,6,23,0,1,1,3,0.6,0.5758,0.78,0.194,casual,17
14/5/2022,2,1,5,2,0,1,1,1,0.6,0.6061,0.6,0.2985,registered,1
15/5/2022,2,1,5,8,0,2,1,2,0.58,0.5455,0.88,0.0896,registered,401
3/12/2021,4,0,12,6,0,6,0,1,0.24,0.2576,0.65,0.1045,casual,1
14/1/2021,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,casual,0
9/11/2022,4,1,11,6,0,5,1,1,0.26,0.2727,0.65,0.1045,casual,5
26/9/2021,4,0,9,23,0,1,1,1,0.62,0.5455,0.94,0.1343,registered,64
15/8/2021,3,0,8,15,0,1,1,3,0.74,0.6818,0.55,0.2985,registered,133
8/9/2022,3,1,9,12,0,6,0,1,0.8,0.7576,0.55,0.4925,registered,474
12/8/2022,3,1,8,16,0,0,0,1,0.76,0.6818,0.4,0.1045,registered,300
23/5/2022,2,1,5,20,0,3,1,2,0.62,0.5758,0.83,0.0896,registered,267
22/6/2022,3,1,6,7,0,5,1,1,0.74,0.6818,0.58,0.1642,registered,340
6/1/2022,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,registered,436
16/3/2021,1,0,3,19,0,3,1,2,0.44,0.4394,0.51,0.3284,registered,150
10/8/2022,3,1,8,15,0,5,1,1,0.8,0.7424,0.52,0.4478,casual,100
12/11/2022,4,1,11,13,1,1,0,1,0.6,0.6061,0.6,0.2239,registered,312
22/8/2022,3,1,8,23,0,3,1,1,0.64,0.5758,0.83,0,registered,113
3/12/2022,4,1,12,11,0,1,1,1,0.48,0.4697,0.77,0.1343,casual,51
6/3/2021,1,0,3,21,0,0,0,3,0.24,0.1818,0.93,0.6119,casual,1
11/1/2021,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,casual,3
5/12/2022,4,1,12,13,0,3,1,1,0.46,0.4545,0.41,0.2836,casual,14
19/5/2021,2,0,5,5,0,4,1,1,0.48,0.4697,0.94,0,casual,2
29/3/2022,2,1,3,10,0,4,1,1,0.46,0.4545,0.47,0.4478,registered,124
18/12/2022,4,1,12,3,0,2,1,1,0.42,0.4242,0.88,0.194,registered,5
27/10/2021,4,0,10,15,0,4,1,2,0.52,0.5,0.83,0.1045,casual,12
10/3/2021,1,0,3,8,0,4,1,3,0.38,0.3939,0,0.2836,registered,43
16/1/2022,1,1,1,13,1,1,0,2,0.24,0.197,0.41,0.4179,casual,26
11/12/2021,4,0,12,2,0,0,0,1,0.18,0.1667,0.55,0.2537,registered,47
8/5/2021,2,0,5,17,0,0,0,3,0.58,0.5455,0.49,0.2836,registered,245
26/1/2021,1,0,1,6,0,3,1,3,0.2,0.1818,0.86,0.2836,registered,8
18/7/2022,3,1,7,4,0,3,1,1,0.72,0.6818,0.7,0.1343,registered,6
20/10/2022,4,1,10,9,0,6,0,1,0.5,0.4848,0.59,0.1343,registered,257
21/6/2021,3,0,6,19,0,2,1,2,0.74,0.7121,0.74,0.2239,registered,358
10/6/2021,2,0,6,12,0,5,1,1,0.84,0.7576,0.44,0.1343,registered,167
19/12/2022,4,1,12,5,0,3,1,1,0.26,0.2879,0.75,0.0896,registered,29
2/9/2022,3,1,9,16,0,0,0,1,0.74,0.697,0.7,0,registered,252
14/1/2021,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,registered,73
15/5/2022,2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.194,registered,145
23/10/2022,4,1,10,16,0,2,1,1,0.68,0.6364,0.44,0.0896,registered,433
2/2/2021,1,0,2,8,0,3,1,3,0.22,0.2121,0.93,0.2239,registered,154
10/8/2021,3,0,8,23,0,3,1,1,0.74,0.6515,0.37,0.0896,casual,14
26/4/2021,2,0,4,11,0,2,1,1,0.68,0.6364,0.65,0.3881,registered,132
27/4/2021,2,0,4,3,0,3,1,2,0.58,0.5455,0.88,0.2836,registered,4
27/1/2022,1,1,1,14,0,5,1,1,0.5,0.4848,0.55,0.5522,registered,153
23/10/2021,4,0,10,7,0,0,0,1,0.34,0.3485,0.87,0.0896,registered,18
21/2/2022,1,1,2,23,0,2,1,1,0.32,0.303,0.66,0.2239,registered,46
4/3/2022,1,1,3,10,0,0,0,1,0.3,0.2727,0.49,0.3284,registered,161
19/11/2021,4,0,11,16,0,6,0,1,0.42,0.4242,0.38,0.2985,casual,99
1/8/2022,3,1,8,19,0,3,1,1,0.74,0.697,0.66,0.2537,casual,88
21/3/2022,2,1,3,4,0,3,1,2,0.5,0.4848,0.88,0.1343,casual,0
27/4/2022,2,1,4,20,0,5,1,1,0.46,0.4545,0.31,0.2836,registered,240
3/5/2022,2,1,5,5,0,4,1,2,0.46,0.4545,0.88,0.2537,casual,1
28/8/2021,3,0,8,19,0,0,0,1,0.72,0.6667,0.48,0.1045,casual,140
5/3/2021,1,0,3,16,0,6,0,2,0.48,0.4697,0.59,0.2985,casual,74
30/9/2022,4,1,9,0,0,0,0,1,0.5,0.4848,0.59,0,casual,35
22/3/2022,2,1,3,18,0,4,1,1,0.66,0.6212,0.65,0.1642,casual,147
29/3/2021,2,0,3,19,0,2,1,1,0.34,0.3333,0.23,0.194,registered,170
17/11/2022,4,1,11,8,0,6,0,1,0.26,0.2576,0.65,0.2239,registered,138
8/2/2022,1,1,2,22,0,3,1,2,0.24,0.2424,0.87,0.1343,registered,95
17/8/2021,3,0,8,7,0,3,1,1,0.66,0.6212,0.65,0.0896,casual,12
31/8/2022,3,1,8,16,0,5,1,1,0.9,0.7879,0.27,0.2537,casual,111
18/3/2021,1,0,3,19,0,5,1,1,0.66,0.6212,0.44,0.1343,registered,132
16/2/2021,1,0,2,1,0,3,1,1,0.2,0.2273,0.44,0.0896,registered,9
8/3/2021,1,0,3,6,0,2,1,1,0.2,0.2576,0.59,0,registered,42
26/9/2022,4,1,9,21,0,3,1,1,0.66,0.6212,0.65,0.194,casual,32
4/11/2022,4,1,11,9,0,0,0,1,0.32,0.3333,0.53,0,casual,56
30/5/2021,2,0,5,8,1,1,0,2,0.66,0.5909,0.89,0.1045,casual,36
31/8/2021,3,0,8,5,0,3,1,1,0.54,0.5152,0.83,0.0896,registered,25
17/9/2022,3,1,9,19,0,1,1,2,0.62,0.5909,0.73,0.1045,casual,51
12/7/2022,3,1,7,3,0,4,1,1,0.64,0.6061,0.69,0.1045,casual,0
17/8/2022,3,1,8,9,0,5,1,1,0.7,0.2424,0.58,0.1045,registered,320
4/12/2021,4,0,12,8,0,0,0,1,0.26,0.303,0.87,0,casual,7
6/7/2022,3,1,7,14,0,5,1,1,0.9,0.803,0.31,0.1642,casual,91
19/4/2022,2,1,4,14,0,4,1,1,0.58,0.5455,0.43,0,casual,54
24/2/2022,1,1,2,2,0,5,1,3,0.42,0.4242,0.77,0.2836,casual,1
28/10/2022,4,1,10,11,0,0,0,2,0.5,0.4848,0.51,0.3881,casual,110
2/6/2022,2,1,6,10,0,6,0,1,0.6,0.6212,0.53,0.2985,casual,145
14/6/2021,2,0,6,6,0,2,1,1,0.54,0.5152,0.56,0.2985,casual,6
25/8/2022,3,1,8,19,0,6,0,2,0.64,0.5909,0.78,0.2985,registered,257
7/12/2022,4,1,12,6,0,5,1,2,0.28,0.2727,0.75,0.1642,casual,0
29/3/2022,2,1,3,22,0,4,1,1,0.42,0.4242,0.44,0.2836,registered,135
22/6/2022,3,1,6,9,0,5,1,1,0.76,0.7121,0.58,0.2239,registered,278
24/6/2021,3,0,6,13,0,5,1,1,0.8,0.7121,0.36,0.2239,registered,178
25/11/2022,4,1,11,11,0,0,0,2,0.26,0.2576,0.41,0.2239,registered,155
20/8/2022,3,1,8,13,0,1,1,1,0.7,0.6515,0.58,0.1343,registered,194
22/3/2021,2,0,3,16,0,2,1,1,0.5,0.4848,0.42,0.1045,registered,125
2/10/2021,4,0,10,23,0,0,0,1,0.36,0.3636,0.81,0.0896,registered,19
28/9/2022,4,1,9,13,0,5,1,2,0.7,0.6515,0.51,0.2537,casual,106
18/1/2021,1,0,1,15,0,2,1,2,0.22,0.2273,0.87,0.1642,registered,32
30/10/2021,4,0,10,2,0,0,0,1,0.22,0.2121,0.87,0.2836,registered,43
2/10/2021,4,0,10,22,0,0,0,3,0.36,0.3636,0.81,0.0896,registered,55
11/8/2022,3,1,8,1,0,6,0,1,0.66,0.6212,0.74,0.2239,casual,32
27/2/2022,1,1,2,14,0,1,1,1,0.46,0.4545,0.36,0.2836,registered,134
31/5/2021,2,0,5,2,0,2,1,2,0.66,0.5909,0.94,0.1343,registered,7
26/7/2022,3,1,7,18,0,4,1,1,0.92,0.8788,0.4,0.3582,registered,615
18/7/2021,3,0,7,6,0,1,1,1,0.64,0.5758,0.83,0.1045,casual,10
2/7/2021,3,0,7,15,0,6,0,1,0.86,0.7273,0.19,0.1642,registered,163
17/1/2021,1,0,1,23,1,1,0,3,0.16,0.1364,0.86,0.2836,registered,3
11/5/2022,2,1,5,14,0,5,1,1,0.62,0.6061,0.23,0.2239,registered,218
16/5/2022,2,1,5,14,0,3,1,1,0.72,0.6515,0.42,0.0896,registered,221
20/5/2022,2,1,5,0,0,0,0,1,0.58,0.5455,0.53,0.1045,casual,42
6/9/2021,3,0,9,18,0,2,1,2,0.54,0.5152,0.88,0.3881,casual,22
22/5/2022,2,1,5,6,0,2,1,3,0.56,0.5303,0.88,0.1045,registered,129
18/5/2022,2,1,5,4,0,5,1,1,0.46,0.4545,0.77,0.1642,registered,11
11/8/2021,3,0,8,8,0,4,1,1,0.7,0.6364,0.45,0.1642,casual,29
20/11/2021,4,0,11,0,0,0,0,1,0.38,0.3939,0.66,0.1642,registered,79
22/3/2022,2,1,3,9,0,4,1,2,0.5,0.4848,0.94,0.0896,registered,277
17/11/2021,4,0,11,2,0,4,1,2,0.42,0.4242,0.82,0.2239,registered,5
26/11/2021,4,0,11,21,0,6,0,2,0.38,0.3939,0.82,0,registered,72
19/8/2021,3,0,8,5,0,5,1,1,0.64,0.5758,0.83,0,casual,1
6/12/2022,4,1,12,1,0,4,1,1,0.26,0.2424,0.48,0.2836,casual,0
16/5/2022,2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0,registered,617
22/5/2021,2,0,5,16,0,0,0,1,0.68,0.6364,0.61,0.1343,registered,201
14/8/2022,3,1,8,3,0,2,1,2,0.68,0.6364,0.83,0.194,casual,0
4/6/2022,2,1,6,23,0,1,1,1,0.58,0.5455,0.49,0.2985,registered,78
11/7/2021,3,0,7,14,0,1,1,1,0.86,0.8333,0.53,0.2836,casual,40
5/1/2021,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,casual,0
16/4/2022,2,1,4,18,1,1,0,1,0.8,0.697,0.31,0.3881,casual,87
4/8/2022,3,1,8,0,0,6,0,1,0.74,0.7121,0.79,0.1642,registered,137
18/12/2021,4,0,12,14,0,0,0,1,0.3,0.2879,0.49,0.2836,casual,19
19/6/2022,2,1,6,10,0,2,1,1,0.64,0.6061,0.73,0.0896,casual,44
3/7/2021,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,casual,74
5/10/2022,4,1,10,1,0,5,1,1,0.54,0.5152,0.68,0.1045,registered,43
30/4/2022,2,1,4,21,0,1,1,2,0.52,0.5,0.59,0.194,registered,195
3/12/2022,4,1,12,7,0,1,1,2,0.34,0.3636,0.93,0,casual,9
8/10/2021,4,0,10,10,0,6,0,1,0.52,0.5,0.77,0,registered,217
15/8/2022,3,1,8,10,0,3,1,2,0.72,0.6818,0.62,0.194,registered,163
22/2/2021,1,0,2,10,0,2,1,1,0.16,0.1818,0.69,0,casual,0
10/8/2021,3,0,8,2,0,3,1,1,0.72,0.6667,0.54,0.1642,registered,10
21/8/2021,3,0,8,13,0,0,0,1,0.8,0.7727,0.59,0.4179,registered,216
30/7/2022,3,1,7,10,0,1,1,2,0.74,0.697,0.66,0.2239,registered,135
29/4/2021,2,0,4,12,0,5,1,1,0.56,0.5303,0.37,0.2836,registered,160
15/6/2022,2,1,6,23,0,5,1,1,0.62,0.6212,0.53,0.2537,casual,46
15/11/2022,4,1,11,11,0,4,1,2,0.34,0.3333,0.61,0.1343,casual,28
4/11/2021,4,0,11,13,0,5,1,1,0.44,0.4394,0.51,0.4179,casual,33
26/6/2022,3,1,6,15,0,2,1,1,0.72,0.6515,0.28,0.4627,casual,88
6/10/2021,4,0,10,3,0,4,1,1,0.44,0.4394,0.67,0.2239,registered,4
19/8/2022,3,1,8,2,0,0,0,2,0.62,0.6061,0.69,0.0896,registered,103
15/9/2021,3,0,9,8,0,4,1,1,0.64,0.6061,0.73,0.1343,registered,364
15/9/2022,3,1,9,17,0,6,0,2,0.66,0.6212,0.36,0.2537,casual,295
6/4/2021,2,0,4,6,0,3,1,1,0.24,0.2576,0.7,0.1045,casual,4
27/12/2021,1,0,12,15,0,2,1,3,0.42,0.4242,0.82,0.3881,registered,17
23/7/2022,3,1,7,8,0,1,1,1,0.72,0.697,0.79,0.1045,registered,691
18/1/2022,1,1,1,12,0,3,1,1,0.3,0.2576,0.39,0.4925,casual,6
9/10/2022,4,1,10,19,0,2,1,2,0.5,0.4848,0.72,0.1642,registered,483
27/6/2022,3,1,6,13,0,3,1,1,0.8,0.697,0.27,0.3284,registered,244
2/7/2022,3,1,7,15,0,1,1,1,0.84,0.7424,0.36,0.194,registered,175
10/6/2021,2,0,6,23,0,5,1,1,0.72,0.697,0.74,0.1642,casual,36
27/3/2022,2,1,3,6,0,2,1,1,0.22,0.2273,0.37,0.194,casual,5
6/3/2021,1,0,3,1,0,0,0,2,0.42,0.4242,0.77,0.2836,registered,27
10/11/2022,4,1,11,7,0,6,0,1,0.26,0.2727,0.87,0.1045,casual,14
5/3/2022,1,1,3,23,0,1,1,1,0.22,0.1818,0.37,0.5821,registered,29
16/6/2022,2,1,6,11,0,6,0,1,0.66,0.6212,0.39,0.1642,registered,353
31/7/2022,3,1,7,9,0,2,1,1,0.72,0.6818,0.7,0.1045,registered,302
15/7/2022,3,1,7,13,0,0,0,1,0.86,0.7879,0.41,0.1045,casual,171
7/3/2022,1,1,3,4,0,3,1,1,0.28,0.2576,0.61,0.3284,registered,3
26/11/2021,4,0,11,12,0,6,0,1,0.44,0.4394,0.51,0,registered,172
22/12/2022,1,1,12,20,0,6,0,1,0.24,0.2424,0.48,0.1642,casual,6
19/11/2022,4,1,11,9,0,1,1,2,0.36,0.3333,0.66,0.2537,registered,260
14/9/2021,3,0,9,9,0,3,1,1,0.64,0.5909,0.78,0.1642,casual,19
29/4/2021,2,0,4,7,0,5,1,1,0.52,0.5,0.42,0.194,registered,222
19/2/2022,1,1,2,6,0,0,0,1,0.24,0.2121,0.52,0.3284,casual,0
25/5/2022,2,1,5,4,0,5,1,2,0.62,0.5606,0.88,0,registered,6
17/2/2022,1,1,2,20,0,5,1,1,0.4,0.4091,0.35,0.194,registered,158
13/4/2022,2,1,4,21,0,5,1,1,0.5,0.4848,0.36,0,registered,153
25/3/2021,2,0,3,1,0,5,1,1,0.2,0.2121,0.69,0.1642,registered,5
1/12/2022,4,1,12,8,0,6,0,2,0.24,0.2424,0.87,0.1343,casual,11
23/5/2022,2,1,5,17,0,3,1,3,0.64,0.6061,0.69,0.1045,casual,45
3/12/2022,4,1,12,16,0,1,1,1,0.6,0.6212,0.53,0.1343,casual,45
20/7/2022,3,1,7,10,0,5,1,2,0.7,0.6667,0.79,0.1642,casual,51
29/8/2022,3,1,8,18,0,3,1,1,0.74,0.6667,0.42,0.1642,registered,693
4/3/2021,1,0,3,13,0,5,1,1,0.34,0.3182,0.42,0.2239,casual,13
3/1/2022,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,casual,4
